GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GitHub API for Java,org.kohsuke.github.connector,GitHubConnector.new GitHubConnector() {...},0,8,0,0,0,2,0,2,0,2
GitHub API for Java,org.kohsuke.github.connector,GitHubConnector,0,7,0,0,0,2,0,1,0,1
GitHub API for Java,org.kohsuke.github.connector,GitHubConnectorResponse,6,109,2,8,1,27,2,11,0,8
GitHub API for Java,org.kohsuke.github.connector,GitHubConnectorResponse.ByteArrayResponse,10,60,3,5,2,19,3,4,0,3
GitHub API for Java,org.kohsuke.github.extras.okhttp3,OkHttpGitHubConnector.OkHttpGitHubConnectorResponse,2,27,1,1,1,9,1,3,0,3
GitHub API for Java,org.kohsuke.github.extras.okhttp3,OkHttpGitHubConnector,0,134,2,14,0,26,2,10,0,4
GitHub API for Java,org.kohsuke.github.internal,DefaultGitHubConnector,0,40,0,6,0,9,0,5,0,2
GitHub API for Java,org.kohsuke.github.internal,EnumUtils,0,34,0,4,0,11,0,5,0,3
GitHub API for Java,org.kohsuke.github,GHOrganization,174,492,7,7,33,93,15,37,11,34
GitHub API for Java,org.kohsuke.github,GHHooks,3,11,0,0,1,2,1,2,1,2
GitHub API for Java,org.kohsuke.github,GHCommit,16,356,5,11,4,71,7,32,2,29
GitHub API for Java,org.kohsuke.github,GHLabelChanges.GHFrom,0,6,0,0,0,3,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHRepositoryTraffic,0,18,0,0,0,8,0,4,0,4
GitHub API for Java,org.kohsuke.github,GHUser,108,168,4,6,16,32,13,18,9,17
GitHub API for Java,org.kohsuke.github,GHThread.Subject,0,3,0,0,0,1,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHCheckRun.Conclusion,0,68,0,0,0,12,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHPermission,6,10,0,0,2,2,2,2,2,2
GitHub API for Java,org.kohsuke.github,GHBranchProtection,6,81,0,0,2,18,2,15,2,15
GitHub API for Java,org.kohsuke.github,GitHub.DependentAuthorizationProvider,5,28,2,2,1,9,2,3,0,3
GitHub API for Java,org.kohsuke.github,RateLimitChecker.new RateLimitChecker() {...},0,3,0,0,0,1,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHException,0,9,0,0,0,4,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHTree,5,64,1,5,2,12,2,8,1,6
GitHub API for Java,org.kohsuke.github,GHEventPayload.CommentChanges,0,6,0,0,0,3,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHPullRequestReviewState,6,52,3,4,2,12,3,5,0,3
GitHub API for Java,org.kohsuke.github,GHRepositoryRule.Parameters.5.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHMyself,121,114,6,0,23,24,8,13,5,13
GitHub API for Java,org.kohsuke.github,GHArtifact,18,78,1,1,2,16,1,11,0,11
GitHub API for Java,org.kohsuke.github,GHThread,121,42,9,1,18,9,10,8,5,8
GitHub API for Java,org.kohsuke.github,GHBlob,19,28,1,1,5,8,3,5,2,5
GitHub API for Java,org.kohsuke.github,GHDeploymentBuilder,40,71,0,0,10,16,5,7,5,7
GitHub API for Java,org.kohsuke.github,GHRepositoryStatistics.PunchCardItem,0,43,0,0,0,9,0,5,0,5
GitHub API for Java,org.kohsuke.github,GHMarketplaceListAccountBuilder,0,47,0,0,0,10,0,4,0,4
GitHub API for Java,org.kohsuke.github,GitHubRequest,23,303,2,26,6,60,4,30,2,18
GitHub API for Java,org.kohsuke.github,GitHubRateLimitChecker,37,116,9,13,7,32,7,10,0,6
GitHub API for Java,org.kohsuke.github,GHEventPayload.Discussion,0,9,0,0,0,4,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHPullRequest,45,396,0,8,11,99,8,42,8,38
GitHub API for Java,org.kohsuke.github,ReactionContent,2,93,1,3,1,16,1,5,0,4
GitHub API for Java,org.kohsuke.github,GHRepositoryRule.CodeScanningTool,0,12,0,0,0,5,0,4,0,4
GitHub API for Java,org.kohsuke.github,GHRef,0,168,1,11,0,36,1,15,0,10
GitHub API for Java,org.kohsuke.github,GHEventPayload.CheckRun,14,26,2,2,3,10,3,4,1,4
GitHub API for Java,org.kohsuke.github,GHTreeBuilder,10,140,1,3,2,24,1,10,0,9
GitHub API for Java,org.kohsuke.github,GHCheckRun.Output,0,19,0,0,0,7,0,6,0,6
GitHub API for Java,org.kohsuke.github,GHEventPayload.WorkflowRun,10,33,3,3,2,11,3,4,0,4
GitHub API for Java,org.kohsuke.github,GHEmail,28,6,2,0,8,3,6,2,5,2
GitHub API for Java,org.kohsuke.github,GHInvitation,37,0,0,0,7,0,4,0,4,0
GitHub API for Java,org.kohsuke.github,GHRepositoryRule.Parameters.4.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
GitHub API for Java,org.kohsuke.github,PagedSearchIterable.new Iterator() {...},0,32,0,2,0,6,0,4,0,3
GitHub API for Java,org.kohsuke.github,GHAsset,30,83,2,0,6,20,3,14,2,14
GitHub API for Java,org.kohsuke.github,GHContentWithLicense,0,9,0,0,0,3,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHWorkflowRunsPage,3,27,0,2,1,4,1,3,1,2
GitHub API for Java,org.kohsuke.github,GHIssueEvent,44,39,0,0,10,14,6,12,6,12
GitHub API for Java,org.kohsuke.github,GHRepositorySearchBuilder,35,70,0,2,7,18,7,12,7,11
GitHub API for Java,org.kohsuke.github,GHRepository.Updater,0,26,0,0,0,4,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHPullRequestReviewBuilder.MultilineDraftReviewComment,0,27,0,0,0,10,0,5,0,5
GitHub API for Java,org.kohsuke.github,GHCommitStatus,7,42,1,3,1,9,1,7,0,6
GitHub API for Java,org.kohsuke.github,GHPullRequestSearchBuilder.PullRequestSearchResult,0,3,0,0,0,1,0,1,0,1
GitHub API for Java,org.kohsuke.github,GitCommit,2,127,2,2,1,36,2,21,0,21
GitHub API for Java,org.kohsuke.github,GHRepositoryRule,2,44,1,3,1,11,1,7,0,6
GitHub API for Java,org.kohsuke.github,GHCompare.new PagedIterable() {...},0,16,0,0,0,2,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHEventPayload.DeploymentStatus,0,27,1,1,0,10,1,4,0,4
GitHub API for Java,org.kohsuke.github,GHBranchProtectionBuilder,241,260,22,4,43,63,23,35,12,33
GitHub API for Java,org.kohsuke.github,GHRepositoryChanges.FromOwner,0,9,0,0,0,4,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHAuthorization,0,35,0,0,0,11,0,10,0,10
GitHub API for Java,org.kohsuke.github,GHMarketplacePendingChange,0,16,0,0,0,6,0,5,0,5
GitHub API for Java,org.kohsuke.github,GHEventPayload.CommentChanges.GHFrom,0,6,0,0,0,3,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHEventPayload.Ping,0,3,0,0,0,2,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHMarketplacePriceModel,3,32,0,0,1,7,1,2,1,2
GitHub API for Java,org.kohsuke.github,GHPerson,25,146,1,7,10,46,6,22,5,19
GitHub API for Java,org.kohsuke.github,GitHubClient.GHApiInfo,0,16,0,2,0,4,0,2,0,1
GitHub API for Java,org.kohsuke.github,GHCheckRunsIterable.new Iterator() {...},0,32,0,2,0,6,0,4,0,3
GitHub API for Java,org.kohsuke.github,GHRepositoryRule.StatusCheckConfiguration,0,9,0,0,0,4,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHIssueChanges.GHFrom,0,6,0,0,0,3,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHProjectCard,81,104,6,2,21,21,10,12,6,12
GitHub API for Java,org.kohsuke.github,GHExternalGroup,0,66,0,0,0,17,0,11,0,11
GitHub API for Java,org.kohsuke.github,GHRepositoryRule.IntegerParameter.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHRepositoryRule.Parameters.3.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHExternalGroup.GHLinkedExternalMember,0,15,0,0,0,6,0,5,0,5
GitHub API for Java,org.kohsuke.github,GHEventPayload.CheckSuite,11,23,2,2,2,9,2,3,0,3
GitHub API for Java,org.kohsuke.github,GHCommit.new AbstractList() {...},0,19,0,0,0,3,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHEventPayload.DiscussionComment,0,9,0,0,0,4,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHDeploymentStatus,4,29,0,0,1,9,1,7,1,7
GitHub API for Java,org.kohsuke.github,GHNotificationStream.new Iterator() {...},35,166,8,14,10,39,7,9,0,5
GitHub API for Java,org.kohsuke.github,GHIOException,4,17,0,0,1,8,1,4,1,4
GitHub API for Java,org.kohsuke.github,GHCheckRunsIterable,0,31,0,0,0,7,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHTreeBuilder.TreeEntry,0,12,0,0,0,5,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHPullRequestQueryBuilder.Sort,0,27,0,0,0,5,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHTagObject,0,32,0,0,0,12,0,10,0,10
GitHub API for Java,org.kohsuke.github,GHWorkflowsIterable,0,41,0,0,0,10,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHRepository.Contributor,7,6,0,0,2,3,2,2,2,2
GitHub API for Java,org.kohsuke.github,GHCommit.File,0,35,0,0,0,12,0,11,0,11
GitHub API for Java,org.kohsuke.github,GHMarketplaceAccountPlan,0,9,0,0,0,4,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHPullRequestCommitDetail.Commit,19,3,0,0,6,2,6,1,6,1
GitHub API for Java,org.kohsuke.github,GHMarketplacePlanForAccountBuilder,0,31,0,0,0,6,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHRepositoryRule.Parameters.2.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHMarketplaceAccountType,6,15,0,0,1,3,1,1,1,1
GitHub API for Java,org.kohsuke.github,GHRepositoryRule.WorkflowFileReference,0,15,0,0,0,6,0,5,0,5
GitHub API for Java,org.kohsuke.github,GHPullRequestChanges.GHCommitPointer,0,9,0,0,0,4,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHVerification,0,15,0,0,0,6,0,5,0,5
GitHub API for Java,org.kohsuke.github,GHPullRequestSearchBuilder,13,347,8,8,0,81,8,37,0,37
GitHub API for Java,org.kohsuke.github,GHUserSearchBuilder.Sort,0,21,0,0,0,4,0,1,0,1
GitHub API for Java,org.kohsuke.github,GitHubPageContentsIterable,0,49,0,0,0,12,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHPullRequestReviewCommentBuilder,0,90,0,0,0,22,0,8,0,8
GitHub API for Java,org.kohsuke.github,GHRepositoryBuilder,10,104,0,0,2,19,2,18,2,18
GitHub API for Java,org.kohsuke.github,GHIssue.PullRequest,12,3,0,0,3,2,3,1,3,1
