GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GitHub API for Java,org.kohsuke.github.extras.okhttp3,ObsoleteUrlFactory.ResponseBodyInputStream,23,32,0,0,7,10,5,5,5,5
GitHub API for Java,org.kohsuke.github.extras.okhttp3,ObsoleteUrlFactory.OutputStreamRequestBody.new OutputStream() {...},86,50,9,3,11,11,8,3,2,3
GitHub API for Java,org.kohsuke.github.extras.okhttp3,ObsoleteUrlFactory.new URLStreamHandler() {...},38,0,4,0,8,0,6,0,4,0
GitHub API for Java,org.kohsuke.github.extras.okhttp3,ObsoleteUrlFactory.OkHttpURLConnection,527,395,84,38,132,99,75,19,21,12
GitHub API for Java,org.kohsuke.github.extras.okhttp3,ObsoleteUrlFactory.OutputStreamRequestBody,5,21,0,0,2,6,2,3,2,3
GitHub API for Java,org.kohsuke.github.extras.okhttp3,ObsoleteUrlFactory.UnexpectedException,10,8,0,0,4,2,1,2,1,2
GitHub API for Java,org.kohsuke.github.extras.okhttp3,ObsoleteUrlFactory.DelegatingHttpsURLConnection,330,0,14,0,91,0,67,0,60,0
GitHub API for Java,org.kohsuke.github.extras.okhttp3,ObsoleteUrlFactory.OkHttpsURLConnection,67,0,4,0,16,0,9,0,7,0
GitHub API for Java,org.kohsuke.github.extras.okhttp3,OkHttpConnector,0,77,1,7,0,16,1,7,0,4
GitHub API for Java,org.kohsuke.github.extras.okhttp3,ObsoleteUrlFactory.BufferedRequestBody,2,54,1,1,1,15,1,4,0,4
GitHub API for Java,org.kohsuke.github.extras.okhttp3,ObsoleteUrlFactory.StreamedRequestBody,38,0,2,0,9,0,4,0,3,0
GitHub API for Java,org.kohsuke.github.extras.okhttp3,ObsoleteUrlFactory,216,273,43,27,48,50,37,19,9,12
